mint,symbol,created_at_utc,complete,pool_address,market_cap_usd_at_snapshot,ath_market_cap_usd
DXrgjqTxKxTsrPvzQsk7mwGbshqb3tDVuX6ahQ4UVQTf,bully,2026-09-06T00:35:12+00:00,False,5xWuRgp68cHBDQHvzYDd7dYzUw3bdZtUf4BWFR9gcxsM,2899.6272182530506,8889.227800434257
AJb9xxMgC4G953RabsMrjWje6U9MraRNpTTNB8Tp9uiE,PEZ,2026-09-06T00:54:19+00:00,False,5TDVmnLpgA2mFi1uVmhPesqmcgUiTAfKBgBK5TSgVpT8,2890.1211569871202,6353.19349342263
BNPPRDKWB5cJ6NA3PDbsTMNvT1x9vQ6wwQCv2Uc7KQrC,ZOLANACHAN,2026-09-06T00:57:47+00:00,False,BsDiN8NQAmt5LfKQfBesz9mNh6VCnvC2reAw979SzGjU,2889.1228643709305,3987.304745969756
HzKsuhj4r2qr5vUCRi6q9ZTEBvV1yJ1PUCFaAY5hquHj,PILL,2026-09-06T01:35:37+00:00,False,2T24MZ49yQoPPTCmrEQab4Dvogoupr2RD7wfNB4qP7UQ,2899.6272137102796,5669.912657560954
7BHzuM8Pk7F8ahW7fjizaknewkSnwXH2otwtQVae2t7E,MooButt,2026-09-06T01:48:35+00:00,False,8ZZXkbHd6hJEHGA4CKbEWctxQw129nxcCiUeNPdmdTUj,2903.279506291452,5059.679425228687
BHpHcq2hdiR1LR8PBMq17fD1wYZYgmm93gjyFS8xZ88Z,NICHI,2026-09-06T01:53:24+00:00,False,2shMsAHDLo3pYWiuPK3oug737vfTDtEQY3WW83shrvKS,2910.2516318143616,4016.477972706843
7MNkM2g1SfnMR4FmYyjHBEwH5EhjydepGsCKX7KQpNwR,SOLANA,2026-09-06T02:21:43+00:00,False,Fpgi4FEgJJonrkWYncXFyeCiU6Xd9q2dj36nAC5aUumj,2975.660530966618,6469.675563376204
9oky4nDizhG1ACEfQmbWBtCqKtAozBZTjpxteswcMM7M,SOLANA,2026-09-06T02:22:18+00:00,False,nEY825gtSsSfxxMfGH1hT8UxiyyTbZ7HQDE3K3ZZQGD,2910.531221943246,4782.400582583993
BFQv9TYZc1jhhXMgLm49Bo5keaXPsd3Mawo4drPr7aEB,RIKA,2026-09-06T03:35:36+00:00,False,7QNF6BqKexm5LkWVSL2oWtiYc6cuBxnT62DJmrDqJ5Wa,2974.144444226935,4661.151035894801
BfEPT1DNj77FjYHZbezW8vSHEf9j1RPp5kQsPosdYraz,F.03,2026-09-06T03:40:16+00:00,False,8jPWiXhatun9NkdiDaudG6Gi6nyuqUjpJa1dPk78isjp,2938.7698198625258,8337.977221205698
EpUciLDx28nbeyj6xK7r9mWQPN6u9qXwqmhzVmNRtcw,F.03,2026-09-06T03:42:23+00:00,False,AxQU3XUomkeLCWcZM3ET8ZdqCtL6ZME42yBpY9Dt882j,2938.6735381481703,9640.88648474788
76PsyTYEy5howe4nadoJPBKL2N3JneqJZKndMBRvvpJ4,SolTard,2026-09-06T04:15:38+00:00,False,CEc9cKGV5PPiQHgnrkwDhcKHAZj3NjQoWaPiXPGtjRY7,2938.3771116418707,4347.850566334524
5kdtmt3MGVp2SLWeLqNqK93GQwYxE42ySssUo5z5MxLY,wif,2026-09-06T04:27:11+00:00,False,EHZKTwwYJg75ByEHvjAVg9NzeuR2ioKCKGFpUYSsTmjp,2873.3604668988323,11686.760334831368
7DK38rnsVHWY6kaiXAEnUR3qirfEyxBsAxySZMrFMSgC,mogachu,2026-09-06T04:28:27+00:00,False,GaQjFthoFTpGyEJ2kesR7EvpCg2w4yCEAcxDeXS9rqX,2896.3787278275213,21032.63102635099
3GeNgcFpMwH9ts5b3W3jddtfwhwAURaykTy8YjtrGQWT,Memeworld,2026-09-06T13:24:28+00:00,True,CaLHzefiX7CsTwXA4n1Ha6wWqLXnzqV6d2gNBPotFmXu,2483.3406037277496,48410.65945701276
FQEkjCVWhZwbBhowWCoWYnj4VSeyNohMnUUsZu9vc64V,nyancraft,2026-09-06T13:55:27+00:00,False,2cKeRrfkFEstGAtWLL3gKYYEmdnKbemTFTiQdftJQGxk,2986.097068556213,5897.3172708756665
HiafjEe9FWu4p16dgtzqvw3sYj94kDNvwg5XT4sbPHmf,FuckRobinhoo,2026-09-06T14:31:10+00:00,False,FjXKLcVdQ4jqH4ujciY5AEdB6yNaontXKEDJmc1U5yp2,2959.9595512813517,6938.452388765208
D584XsRkhgSwbJmrWnJ4DUwdXvbURRAQt3D97aBbPBvg,DARKNESS,2026-09-06T14:39:59+00:00,False,3bw5aUhphyUteoQ7kfmm883hti6gwZqLSJNzoNFkebtq,2930.5819008718913,21112.76784410564
DXSAxxLnsf1kFgjUEp492FZQR4xfpszac26FXrtjWvwf,SLOWLANA,2026-09-06T15:08:13+00:00,True,BowF3hHUxzm3pam7jSXCfG1dbCrs8dyWeYoXqJkEPAYg,8025.501660817106,365341.1748923301
2wPKgjzfbydWmiHGexYDKSRDmuUXhwvmmPimwLHPWnn9,SLOWLANA,2026-09-06T15:08:16+00:00,False,J5JxQs4zHTKgGrZcvFyUzPRZTtiDiHQP5JqdnFGqZUxz,2972.879777715396,5860.44084834187
