mint,symbol,pool_address,created_at,inferred_migration_at,migration_delay_minutes,entry_at,entry_price_usd,entry_market_cap_usd,exit_at,exit_price_usd,exit_reason,gross_multiple,net_return_pct,current_market_cap_usd,ath_market_cap_usd,return_5m_pct,return_15m_pct,return_60m_pct,return_360m_pct
HmaHhC9vBh43gZnNTUFGNGP1A72jH1MXKjhHRWw2Ja8F,FAMI,DSXvXbTdEGH9vAj5XUax8ByyEozsi8vJPGPkcqftGwC3,1788359039,1788359460,7.016666666666667,1788359520,3.70166732430021e-05,37016.6732430021,1788359580,5.552500986450314e-05,take_profit,1.5,41.86596874999997,2170.8215234750337,72106.3179248266,-13.461432922912342,-42.20498695308258,-89.76480969323394,-93.11443546044357
7HJCxCMTnit9rLS21e9SMdisJaaZ9A5P3N1Lq99roeTz,DEG,5hb55hEEaWbKyC8TzvvRzXZtT9Byabet45s5Md7VwJuK,1788366377,1788366360,0.0,1788366420,3.8431587015785785e-05,38431.587015785786,1788366420,2.6902110911050046e-05,stop_loss,0.7,-33.95588125000001,2186.662213707017,85162.02578252432,-19.405005382867092,-83.26426924818597,-94.26665121708581,-94.71091969186666
tTsnnNohmx8tjjqsT3YLW7jsdzK5skNjrG4geqPCRFX,doge,2yaDXAN4A2QToDNur5FxMC7bocyVjPhJZSEJzhZcC16v,1788378139,1788378240,1.6833333333333333,1788378300,4.012202267481316e-05,40122.02267481316,1788378360,2.808541587236921e-05,stop_loss,0.7,-33.95588125000001,2215.2501721007366,46582.465344478645,-72.11807969529127,-95.0257746093363,-95.27098958152756,-95.23840006227306
852nrVz4Wc43eTMT3Nta4YL5H8gAGDy2HEBpZPpwaraH,penis,94D9692gPP6mhbDpE7vULBK5SEWckrZDcZLrQCcu5iKT,1788384583,1788385080,8.283333333333333,1788385140,3.208831318868861e-05,32088.313188688608,1788385260,4.8132469783032915e-05,take_profit,1.5,41.86596874999997,2344.054971647579,77509.45934655824,72.93296725863428,5.724837738238642,-54.53118943952073,-91.49948385377861
2Q8tHSimZLBb2v3BfNNSVbs4bKYxNJ84NpzuajG6p1aQ,https,6Dy49CyqfdcAmQnK3aL8bBzLE3B9kVYP9ETC18aNae4e,1788390585,1788391980,23.25,1788392040,4.2203803031068564e-05,42203.803031068564,1788392100,2.9542662121747993e-05,stop_loss,0.7,-33.95588125000001,2232.583319367798,56124.26685036271,-69.32071523757448,-52.63706297373315,-89.4313581181201,-92.83929280872597
Ak7JbLvKEFzkcfpvLErnnkQ8xoB2P3HNbLDp6Du2JVSW,NEVER,4hgojizNVNNZcfnxC9t4VJmc41rUKShNAVrvj5aF6F58,1788396614,1788397200,9.766666666666667,1788397260,4.41583359092459e-05,44158.3359092459,1788397380,6.623750386386885e-05,take_profit,1.5,41.86596874999997,2412.6809458508196,125030.7025570047,66.29112022512116,26.967491674641053,-70.65532483069852,-87.75548436982062
86kTFt6JKC1QJvXsCViKm6XMg4EybZY1maA3oLQ36w3o,SPEEDRUN,5qxfAw7z1FwkouQjMc3ofqMKqEVMR92GuMf8yyzgC7jy,1788451495,1788451500,0.08333333333333333,1788451560,5.576535540931746e-05,55765.35540931746,1788451560,3.903574878652222e-05,stop_loss,0.7,-33.95588125000001,2233.693084688992,80181.1215468463,-13.83986583057859,-91.77983479561847,-94.42020450776565,-96.04104271923632
H7L3oDyyQBhcHM5CRu8ndbVLMSQMBZotnJisPzVfhyZZ,TikZ,6Vw68NRYwvXgJQ4BnpwwbapZkrPipaLDuDKEtQAqr4UE,1788468236,1788468600,6.066666666666666,1788468660,9.16310426212874e-05,91631.0426212874,1788468660,0.0001374465639319311,take_profit,1.5,41.86596874999997,2344.3657190134463,142634.7563100591,-77.39090485401356,-51.281969661454205,-89.98664247002141,-96.33088771264836
JBrzNDUrpovsi7FSUR17pxcajoN5XAxK1dMDNwuKbamf,AMC,12VQCe1u1rLvskHnhArjNuu4WhsuSc3YHkLywNKYTamQ,1788494151,1788511140,283.15,1788511200,8.341277571766348e-05,83412.77571766348,1788514680,0.0001251191635764952,take_profit,1.5,41.86596874999997,12365.032870542454,255240.81254197884,18.341281412229414,4.059276292588421,78.38803897123823,-51.90287304324698
GygNPCFvqrMuPBM5R1siGKfrwqeJ8r5PYccx5EnNhcer,Pump,93LaL8NuH54Yq5yJTv2mEweVFGCUF77nhrKgnV6ia4jK,1788534656,1788534900,4.066666666666666,1788534960,4.541758567957599e-05,45417.58567957599,1788534960,3.1792309975703197e-05,stop_loss,0.7000000000000001,-33.95588124999998,3548.4643847641237,106449.43692096761,-29.932432175177826,-87.40905966443836,-91.70299870547275,-92.31026931706698
6iymtCT9W9M21WqdKrunKt3nTntN5Mf1FuD5Le66FZgo,mert,Axot6gbDKW4YmbY1XhBerwJRy1xQF5SMnovic3hUTN5V,1788547545,1788554700,119.25,1788554760,3.602882280749724e-05,36028.82280749724,1788554760,5.404323421124586e-05,take_profit,1.5,41.86596874999997,2388.6243819049355,68463.77130932528,7.550555362209299,-38.57593020183659,-62.16345730079995,-88.06902422409647
E5kD68HpYXfwZEYwmZsXJhwmcavJgFnkT8Hfw8DW9CkX,ION,DXSJqDs4DmwBRMGWbSXQWQPdruDd9YsTyea86EoUxFVf,1788548797,1788548880,1.3833333333333333,1788548940,3.627178202027832e-05,36271.78202027832,1788548940,2.5390247414194823e-05,stop_loss,0.7,-33.95588125000001,2839.3522834182513,47752.65900021009,-84.84344985139064,-91.0857055414352,-92.66449880516974,-92.73669694942919
5erj4fz47YLFZc677GNipfaK1G8UrwwPTyy9HPaMtLmk,SLINK,49U7K8Pewy6fBwFrFcmYjSusxsSqMGUMvMXrVT8zECRe,1788564879,1788566160,21.35,1788566220,3.69983942097127e-05,36998.3942097127,1788566220,2.589887594679889e-05,stop_loss,0.7,-33.95588125000001,2667.8584195122003,54042.70293564905,-28.797520541298905,-63.74125733997739,-85.84223755791425,-90.41439124434642
CUFwEHj6MTc7BTXP25cqCAuR11qHrGK31nV9LN5Kmb3,BRAINDEAD,HMXH7ydde7H7ezWsMAfLeMEhpY41RxQZJYqHW6L4w7D,1788565702,1788566400,11.633333333333333,1788566460,3.645851889498349e-05,36458.51889498349,1788566460,2.5520963226488442e-05,stop_loss,0.7,-33.95588125000001,2458.59534026313,177524.220527299,51.35081496163983,88.65562878368038,137.27371417401866,-79.39846722078605
HXe9JMFGJabPqM6tiNB6tyFSGnXrYiwz8Ps5Ks81ASyf,motion,6iw5e1NzNL1Liwkx4D2j9ciFPemdV4QGAJEcNLttJMst,1788578746,1788579360,10.233333333333333,1788579420,3.7104486648399776e-05,37104.486648399776,1788579420,2.5973140653879843e-05,stop_loss,0.7,-33.95588125000001,3998.9864578939028,45261.50638774227,-57.33142992824052,-88.32174753457547,-91.18924220190503,-93.68654681666774
5bTDJ9RjV9m7K3FcU1ThyFv3TorQ4cYQN2djZ7kk7Ffr,FHOOD,AFRUHxHX6dxgB223KyR9s9Dg5m3CidVDjnh4oByAqWkX,1788581476,1788581700,3.7333333333333334,1788581760,4.284462659074135e-05,42844.62659074135,1788581820,2.9991238613518943e-05,stop_loss,0.7,-33.95588125000001,2903.8246101086993,58058.98228494865,-40.32703450695435,-7.555620639193794,-89.24023263511842,-92.92850418997931
A9ssUn6sUiAyBE3bLj7Xzhrtpcd16TSgSSHnFPg3Lhoc,sexcoin,7BDXciJzLD4M3ikf5XLX5KtGJMRLEfzvprZRrY8XJPkj,1788629041,1788629700,10.983333333333333,1788629760,4.661073126018497e-05,46610.73126018497,1788629760,3.2627511882129475e-05,stop_loss,0.7,-33.95588125000001,2301.1586849544346,58864.00847412878,-59.29505357555016,-79.71906476544707,-89.14333808895522,-95.30388055004721
GLjhdCD826s4eds1HeFCicvZ7JRZ62u3SzGqkcq3f7CY,employim,EfRPUvKi8aLaT8MwRuZg6Lsq2rHF4m4nmiCpKDvSeVt8,1788638816,1788639660,14.066666666666666,1788639720,3.9299465475457885e-05,39299.46547545789,1788639780,5.8949198213186825e-05,take_profit,1.5,41.86596874999997,2326.7863510057427,107913.84257248446,105.0196524397323,-42.23468225174572,-87.6046004540835,-93.40867971277282
BRiPubrb4QYvEQCf2Eu2UdJ6sSFohk2seBwsgMdvowFW,ELON,3fQknuER7gXwD3Ptp8qTGwS9X41iAG174cpVQJGE9qPY,1788640712,1788641280,9.466666666666667,1788641340,4.6104869206134726e-05,46104.869206134725,1788641400,3.2273408444294304e-05,stop_loss,0.7,-33.95588125000001,2324.9021520962283,48207.47316503567,-46.315463349672314,-85.93435019984013,-89.23611444647285,-91.44665361953653
3GeNgcFpMwH9ts5b3W3jddtfwhwAURaykTy8YjtrGQWT,Memeworld,CaLHzefiX7CsTwXA4n1Ha6wWqLXnzqV6d2gNBPotFmXu,1788701068,1788702180,18.533333333333335,1788702240,3.267498757145413e-05,32674.98757145413,1788702540,2.287249130001789e-05,stop_loss,0.7,-33.95588125000001,2483.3406037277496,48410.65945701276,-37.73711006902833,-55.03343946334165,-53.81743772784997,-90.71627424564048
DXSAxxLnsf1kFgjUEp492FZQR4xfpszac26FXrtjWvwf,SLOWLANA,BowF3hHUxzm3pam7jSXCfG1dbCrs8dyWeYoXqJkEPAYg,1788707293,1788722700,256.78333333333336,1788722760,0.00012514157428556347,125141.57428556346,1788724740,8.759910199989442e-05,stop_loss,0.7,-33.95588125000001,8025.501660817106,365341.1748923301,0.5999652745041884,-7.953508253314123,-23.51336053920311,-60.177365328567845
H8sAxJP46HYq9DtEjnYS3sAT7h8NChBqA4CXFAgnqF7u,EOS,96LmtpMQG6Rq3pDcUtzqnzRTAdFTzQS8JZi8N1wip8Hu,1788711311,1788712200,14.816666666666666,1788712260,4.2546116040752306e-05,42546.116040752306,1788712320,2.9782281228526612e-05,stop_loss,0.7,-33.95588125000001,2802.6859915076066,49183.6503650205,-47.68970679015552,-88.78223510314812,-91.43208155507766,-93.3844723595217
GvXGN2tKbmsSUZ2gARDebHkef9JRjNCwh4t8JPmb2DBo,PUMP,5kGEfPsHi4pJ2nJBujNfBfB5pvrghpcv9YYgo38uJ7Az,1788782929,1788783480,9.183333333333334,1788783540,3.197436872667911e-05,31974.36872667911,1788783540,2.2382058108675376e-05,stop_loss,0.7,-33.95588125000001,5237.2122930748565,43588.4047587476,-31.99630634218803,-40.396902420344446,-82.20869905132206,-88.98109837175792
